DEBUG 2025-03-10 14:50:45,695 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1739180166.746256
DEBUG 2025-03-10 14:50:45,696 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\arrays\masked.py first seen with mtime 1732533727.264938
DEBUG 2025-03-10 14:50:45,697 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\cli.py first seen with mtime 1732095311.9222722
DEBUG 2025-03-10 14:50:45,698 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauth2client\transport.py first seen with mtime 1741160251.0530808
DEBUG 2025-03-10 14:50:45,701 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\util\__init__.py first seen with mtime 1732533729.157998
DEBUG 2025-03-10 14:50:45,702 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\ops\dispatch.py first seen with mtime 1732533727.406397
DEBUG 2025-03-10 14:50:45,702 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\workbook\properties.py first seen with mtime 1740395923.0503345
DEBUG 2025-03-10 14:50:45,703 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth2\rfc8628\__init__.py first seen with mtime 1741160244.661991
DEBUG 2025-03-10 14:50:45,704 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\arrays\sparse\__init__.py first seen with mtime 1732533727.2962286
DEBUG 2025-03-10 14:50:45,705 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\generic.py first seen with mtime 1732533727.3462746
DEBUG 2025-03-10 14:50:45,705 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\matrixlib\defmatrix.py first seen with mtime 1732533712.4541965
DEBUG 2025-03-10 14:50:45,706 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\oauthlib\oauth2\rfc6749\request_validator.py first seen with mtime 1741160244.6262565
DEBUG 2025-03-10 14:50:45,706 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\connection.py first seen with mtime 1739180167.0792148
DEBUG 2025-03-10 14:50:45,707 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1739180167.0772033
DEBUG 2025-03-10 14:50:45,708 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_libs\tslibs\period.cp312-win_amd64.pyd first seen with mtime 1732533729.6159742
DEBUG 2025-03-10 14:50:45,708 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\wsgi.py first seen with mtime 1739180166.7386758
DEBUG 2025-03-10 14:50:45,708 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\reshape\encoding.py first seen with mtime 1732533727.4220033
DEBUG 2025-03-10 14:50:45,709 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\encodings\aliases.py first seen with mtime 1722958350.0
DEBUG 2025-03-10 14:50:45,710 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\__config__.py first seen with mtime 1732533711.9661784
DEBUG 2025-03-10 14:50:45,710 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\filters.py first seen with mtime 1738664113.4435873
DEBUG 2025-03-10 14:50:45,710 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyparsing\util.py first seen with mtime 1741160243.3438046
DEBUG 2025-03-10 14:50:45,711 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_libs\tslibs\dtypes.cp312-win_amd64.pyd first seen with mtime 1732533729.5370712
DEBUG 2025-03-10 14:50:45,712 autoreload File C:\Users\Elsy Thomas\project.webpage\myproject\myapp\permissions.py first seen with mtime 1741241390.1352532
DEBUG 2025-03-10 14:50:45,714 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\DLLs\select.pyd first seen with mtime 1722958396.0
DEBUG 2025-03-10 14:50:45,715 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\serializers\__init__.py first seen with mtime 1739180166.7941525
DEBUG 2025-03-10 14:50:45,716 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pytz\tzinfo.py first seen with mtime 1732533710.717599
DEBUG 2025-03-10 14:50:45,717 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1739180166.7738135
DEBUG 2025-03-10 14:50:45,718 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\email\mime\__init__.py first seen with mtime 1722958350.0
DEBUG 2025-03-10 14:50:45,718 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\unittest\signals.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 14:50:45,719 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\reshape\util.py first seen with mtime 1732533727.4376392
DEBUG 2025-03-10 14:50:45,720 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pytz\lazy.py first seen with mtime 1732533710.709358
DEBUG 2025-03-10 14:50:45,721 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1739180165.4254327
DEBUG 2025-03-10 14:50:45,722 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_libs\tslibs\offsets.cp312-win_amd64.pyd first seen with mtime 1732533729.5843112
DEBUG 2025-03-10 14:50:45,722 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\interchange\utils.py first seen with mtime 1732533727.3907642
DEBUG 2025-03-10 14:50:45,723 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1732095311.9212444
DEBUG 2025-03-10 14:50:45,723 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\validators.py first seen with mtime 1735542824.1544962
DEBUG 2025-03-10 14:50:45,724 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\window\expanding.py first seen with mtime 1732533727.45387
DEBUG 2025-03-10 14:50:45,724 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexers\__init__.py first seen with mtime 1732533727.3594148
DEBUG 2025-03-10 14:50:45,725 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\_exponential_backoff.py first seen with mtime 1741160251.7612238
DEBUG 2025-03-10 14:50:45,725 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\computation\__init__.py first seen with mtime 1732533727.3275094
DEBUG 2025-03-10 14:50:45,726 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\email\_header_value_parser.py first seen with mtime 1722958350.0
DEBUG 2025-03-10 14:50:45,726 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1739180167.1136892
DEBUG 2025-03-10 14:50:45,727 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1739180164.5334127
DEBUG 2025-03-10 14:50:45,728 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\chart\reference.py first seen with mtime 1740395922.9392512
DEBUG 2025-03-10 14:50:45,729 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\excel\_xlsxwriter.py first seen with mtime 1732533727.5164745
